лп сказала, что я умею шутить только про геев и суицид				1sg
Видимо, я просто не умею распределять время				1sg
@Serena_Van_DerW Могу умею ахахахахахах				1sg
Сначала писать кучу всего, а потом не появляться в твиттере  Могу. Умею. Практикую.				1sg
П.С. Не умею поздравлять @anyadi21 https://t.co/xFdk3XCkeX				1sg
RT @TOTOHIME_: я точно умею рисовать?..				1sg
я точно умею рисовать?..				1sg
@uniclydiama а я так не могу.. не умею				1sg
@Miss___Viki прост норм общаться не умею				1sg
с лёгкостью умею усложнять жизнь любого человека)))))))				1sg
@kangli_ye не умею так :( редко редко получается				1sg
@tanyakhristenko  -пять демонов э эээми -пять демонов Эмили -ооооо, ты смотрела это фильм?? -нет,я умею читать  😂				1sg
У всех Любовь, парни, встречи, а я что? Ничего, не умею я так.				1sg
@yanulya_pro я бывший зрячий, поэтому умею, и опасаюсь что альтернативные штуки будут втерать и тем кто умеет.				1sg
Я умею делать лечебный детский и взрослый массаж. Недорого. Подскажите где найти клиентов?				1sg
Я не умею поздравлять людей увы(				1sg
боже почему я не умею так усердно учиться как чайничек  так стремно от себя мде				1sg
Почему я не умею угрожать? (				1sg
RT @lana55571: "Я ВАТНИК и меня не изменить...И я умею Родину любить..." https://t.co/fN8fdZ6LDG				1sg
@ohorat_twt приходи ко мне могу выслушать подбадривать не умею				1sg
RT @anuta_anuta31: Магнус. Я не...я не очень хорошо умею извинятся.   #shadowhunters #malec https://t.co/7zMPLfMr8F				1sg
Я умею держать ровно спину, И давно уж не верю словам: "Я тебя никогда не... https://t.co/4hm7GKlqW5				1sg
Я умею держать ровно спину, И давно уж не верю словам: "Я тебя никогда не... https://t.co/6wMbrxqgF2				1sg
Я умею держать ровно спину, И давно уж не верю словам: "Я тебя никогда не... https://t.co/n26vj6zFrC				1sg
Я умею держать ровно спину, И давно уж не верю словам: "Я тебя никогда не... https://t.co/QgUeVtRq6A				1sg
Я умею держать ровно спину, И давно уж не верю словам: "Я тебя никогда не... https://t.co/Dkp4ko9Nvu				1sg
